node, chunk
37181,3
37190,3
37273,7
37293,3
37344,4
37546,1
37548,3
37610,2
37627,4
37653,0
38123,11
38162,11
38358,1
38397,2
38527,5
38618,3
38626,3
38654,2
38669,3
38674,3
38772,2
38775,3
38881,0
38941,6
38942,0
39082,3
39086,3
39099,8
39107,3
39432,3
39466,9
39617,2
39621,2
39638,2
39758,1
39961,2
39963,2
40077,10
40085,10
40151,3
40217,2
40233,3
40366,1
40370,1
40674,3
40690,6
40692,6
40817,2
40818,2
40830,5
41101,11
41112,11
41139,11
41261,3
41426,3
41427,1
41447,7
41882,0
42026,1
42062,1
42100,3
42192,0
42254,3
42275,10
42410,3
42415,3
42514,5
42526,5
42563,5
42636,7
42648,7
42839,1
42896,1
43041,1
43146,11
43151,1
43179,3
43256,6
43316,2
43321,3
43332,3
43455,2
43580,2
43689,7
43700,7
43777,3
43780,3
44316,2
44318,2
44394,2
44477,4
44489,2
44507,2
44668,11
44679,11
45264,0
45351,0
45450,1
45479,3
45637,2
45779,10
45807,2
46245,1
46259,6
46513,2
46829,1
47180,3
47230,3
47281,0
47308,7
47314,1
47315,1
47692,2
47695,2
47969,7
48086,3
48139,3
48155,2
48193,7
48278,2
48396,2
48397,2
48426,2
48427,2
48435,2
48560,3
48668,5
48681,2
48698,7
48699,7
48701,7
48709,11
48723,3
48745,3
48752,3
48849,2
48850,3
48883,2
48891,2
50251,2
50390,11
50392,2
50402,2
50954,3
51154,3
51298,3
51337,3
51338,3
51342,3
51346,3
51355,2
51650,11
51655,10
51695,0
51858,8
51900,2
51906,2
52224,8
52239,6
52612,11
52622,2
52644,2
52647,2
52653,7
52664,7
52719,1
52777,2
52904,7
53275,3
54017,2
54023,2
54059,2
54126,0
54131,3
54133,3
54180,3
54317,6
54343,6
54356,2
54359,2
54369,2
54374,2
54380,2
54383,2
54386,2
54508,2
54600,3
54601,3
54971,2
55057,9
55149,3
55544,2
55550,2
55661,2
56067,2
56068,2
56069,2
56086,11
56194,3
56258,2
56262,2
56311,2
56313,2
56343,2
56364,9
56622,4
56716,6
56723,6
56726,6
56798,3
57062,11
57068,2
57237,2
57240,2
57247,2
57397,2
57412,2
57421,2
57439,2
57737,3
57865,6
57926,0
58065,3
58069,3
58203,2
58323,5
58824,10
59463,3
59472,3
59474,3
59476,3
59479,3
59527,3
59534,3
59538,3
59542,3
59556,3
59729,2
59861,7
59894,2
59899,5
59916,1
60409,7
60468,2
60711,3
60746,3
61156,3
61221,8
61376,3
61379,3
61383,3
61384,3
61388,3
61472,11
61474,11
61476,11
61478,11
61482,11
61484,11
61621,3
61622,3
61643,6
61819,7
61853,3
62018,11
62062,7
62324,1
62749,11
63121,8
63155,7
63433,4
63434,4
63436,4
63976,10
63990,10
64144,7
64176,8
64278,2
64391,11
64459,10
64668,2
64717,3
64791,4
64793,4
64799,2
64802,2
64838,4
65476,8
65598,4
66420,10
66442,3
66444,3
66707,2
66713,0
66913,5
67531,1
67533,1
67534,1
67767,4
67801,1
67830,0
68294,2
68408,3
68415,3
68464,7
68486,2
68497,2
69004,1
69234,7
69293,6
69297,3
69308,3
69311,3
69319,4
69332,0
69355,11
69811,5
69820,9
70433,6
70687,3
70778,0
71006,3
71117,3
71119,3
71854,3
72004,3
72105,6
72248,10
72267,4
72446,5
72542,3
72544,3
72781,4
72791,4
73157,1
73324,2
73327,2
73330,2
73333,2
73337,3
73917,1
74200,2
74533,3
74869,1
74873,1
74909,2
74926,2
74940,7
75152,4
75162,4
75169,4
75352,5
75366,5
75485,2
75864,2
75869,2
75917,4
76066,8
76193,10
76194,10
76198,10
76199,10
76206,10
76338,6
76340,6
76712,1
76717,3
76990,4
77115,7
77151,3
77166,11
77214,3
77252,10
77598,3
77932,3
78185,4
78217,2
78633,10
78897,9
79626,2
79627,2
79633,2
79643,2
79653,2
79684,3
79782,11
79784,3
79805,3
80427,8
80765,11
80833,0
80966,7
80972,7
81572,3
81927,2
82127,3
82366,7
82595,10
82600,10
83376,2
83485,4
83487,10
83647,11
84645,5
84702,3
84834,2
85066,2
85069,2
85105,2
85120,1
85443,4
85444,4
85585,10
85660,4
86224,7
86971,4
86973,3
87175,2
87288,3
88005,0
88029,3
88036,0
88082,8
88087,8
88112,2
88201,7
88217,4
88501,4
88514,4
88531,4
88556,11
88686,1
88925,0
89197,0
89248,3
89386,2
89399,3
89462,3
89632,3
89673,3
90247,3
90988,5
91212,0
91411,4
91422,4
91561,3
91738,10
91739,10
91767,2
91951,2
92683,2
92688,2
93162,3
93163,3
93504,10
93934,2
94109,1
94128,4
94188,3
94232,6
94237,6
94827,2
94885,8
94893,8
94911,7
94953,6
94963,3
95170,0
95593,10
95620,8
95912,3
96440,8
96539,2
97097,2
97206,3
98310,0
98964,2
99837,3
99882,2
99883,6
100190,7
100784,2
100819,2
100952,6
101364,5
101932,10
103372,4
103600,3
103695,8
103765,1
103775,1
103933,4
103944,8
103956,2
104421,4
104447,10
104452,10
104460,10
104474,10
104476,10
104658,7
104688,1
105023,7
105785,11
106582,7
106734,2
107208,2
108405,2
108852,3
108858,3
108931,11
108974,4
109027,11
109280,7
109356,1
109478,3
109678,3
109905,6
110193,11
110368,10
110676,2
111784,7
111811,2
111838,3
111875,1
111881,10
111903,10
111917,10
111923,10
112262,3
112268,1
113103,11
113115,2
113330,10
113334,10
113540,7
113544,7
114276,2
114329,2
114331,2
114369,2
114398,0
115081,4
115100,4
115357,11
115425,1
115618,2
116121,10
116126,9
116130,9
116150,10
116153,11
116960,3
117165,2
117534,11
117571,0
118141,7
118183,2
118200,2
118793,2
118797,3
118798,3
118852,3
119488,6
119604,1
120794,2
121224,11
121488,0
121530,2
121554,0
121845,11
122231,3
123217,1
123683,7
123851,11
124412,10
125297,2
125878,8
125945,1
126373,7
126836,2
127322,10
127582,3
127929,2
128390,2
129108,7
129224,3
129397,10
130686,4
130704,4
130708,4
130825,3
132113,4
132243,1
132585,2
132908,3
133082,11
133901,11
134902,2
134920,6
135165,2
135168,2
135433,2
135441,2
135761,6
135764,6
135765,6
135921,11
135972,2
136037,11
137070,1
137072,1
137074,1
137078,1
137178,0
137246,8
137355,1
137520,7
137541,2
137693,0
138070,10
139649,1
139677,1
139723,1
140453,0
141832,0
141839,2
142471,2
143287,3
143291,3
143292,3
143302,3
143351,3
143606,5
143630,8
143722,11
143724,11
143735,11
143948,11
143950,11
143995,4
144034,4
144197,7
146810,6
146911,8
146921,7
148065,3
148594,2
148810,4
148989,5
150288,7
151541,10
151549,10
152616,10
153643,2
154130,1
154832,1
155063,5
155067,5
156170,2
156304,4
156561,2
156563,2
156759,2
156760,2
157728,0
158441,11
158456,7
158624,11
158812,8
158814,2
159581,2
159646,8
160400,3
160708,6
160734,6
160748,0
160761,2
161013,11
161453,7
161584,7
161590,7
161649,2
161653,2
161742,2
161767,7
161770,10
163118,7
163134,6
164674,2
165858,10
166361,11
166423,4
166741,7
168631,10
170555,11
170557,11
170625,1
171122,3
171585,10
171594,10
171605,10
171736,6
171913,10
171915,10
171916,10
171917,10
171918,10
172413,2
172684,2
172689,2
172690,2
173247,7
173321,7
173339,7
174628,1
174822,9
175120,2
175131,2
175529,2
175774,5
175797,5
175798,5
176013,2
176015,2
176024,2
176039,2
176057,2
176066,2
176074,2
176115,3
176938,2
176943,2
177089,11
177155,2
