node, chunk, filesize
9624,5,151689417
9627,5,116670092
9643,5,232170384
9644,5,290711946
9646,5,11098852
9649,5,3792468
9657,5,408430913
9664,5,5965848
9668,5,7437196
9669,5,186673269
9672,5,5250466
9678,5,125236242
9680,5,162707012
9685,5,363962958
9689,5,169516027
9690,5,5856200
9691,5,8299072
9694,5,10790538
9696,5,1807590
9704,5,4996282
9707,5,378784
9711,5,173806859
9713,5,9685692
9715,5,165479026
9716,5,5531172
9720,5,178204619
9725,5,3745832
9731,5,161470672
9733,5,10220048
9739,5,11864028
9742,5,6022096
9749,5,11893426
9755,5,237449018
9760,5,10993102
9764,5,8627660
9767,5,8696902
9770,5,247636340
9771,5,192118910
9778,5,26939588
9783,5,195424065
9785,5,466312818
9787,5,462234
9793,5,153995641
9796,5,190785499
9798,5,6695826
9801,5,4090618
9802,5,6434522
9805,5,464880945
9807,5,11841390
9813,5,192061006
9818,5,26467922
9823,5,167339788
9833,5,19270102
9837,5,3771820
9838,5,4244766
9840,5,223786131
9843,5,199252950
9844,5,161654325
9849,5,10000574
9852,5,147228431
9860,5,127027894
9870,5,12453848
9874,5,9225740
9877,5,174280597
9883,5,199630447
9886,5,184274601
9888,5,183597041
9891,5,192810935
9897,5,138692305
9899,5,7947344
9901,5,17607938
9904,5,197427190
9913,5,199907880
9915,5,9808868
9923,5,3443766
9925,5,423359999
9927,5,146158708
9938,5,142276428
9940,5,22781770
9970,5,336108132
9974,5,4066588
9978,5,10280734
9986,5,178776656
9989,5,1816168
9993,5,4946075
9994,5,190641475
9995,5,523262468
9999,5,188881870
10020,5,147528336
10023,5,139884661
10029,5,26047088
10036,5,22538360
10041,5,278880821
10042,5,117587866
10047,5,4087414
10060,5,18905558
10066,5,4308930
10068,5,12915146
10085,5,6730714
10088,5,21438708
10089,5,9596860
10090,5,3426370
10093,5,13335582
10096,5,2920446
10103,5,259827514
10105,5,153815908
10112,5,212934023
10114,5,2196824
10116,5,4464002
10117,5,210414069
10137,5,6482938
10141,5,385383364
10149,5,16937946
10157,5,9479034
10160,5,8932930
10166,5,4069970
10169,5,5067660
10181,5,393252444
10183,5,1981496
10224,0,4352382
12930,4,35394090
12957,7,278914507
13037,1,226997145
13114,4,53680983
13146,4,48485589
13164,8,287857689
13180,4,60315323
13233,8,185902003
13245,4,55581931
13249,8,345748117
13262,8,561523355
13333,6,698818681
13397,0,725400778
13451,6,789188900
13489,2,193204659
13515,5,6113054
13616,5,302419756
13632,3,184058153
13686,7,1134929832
13735,4,292452667
13746,4,36547543
15368,6,365034900
27454,3,714094443
27457,3,159311739
27615,5,6836624
27622,5,182883749
27642,5,12866196
27675,5,8094016
27679,5,0
27687,5,643480715
27704,5,1055037031
27706,2,1603309439
27794,4,402305957
27835,8,2179472
27923,0,1280222
28377,4,311783229
28584,3,1020119403
28588,3,195440514
28610,3,803067693
28612,3,690570541
28689,4,89782523
28697,4,53199330
28711,4,33917490
28713,4,64379729
28716,4,73165768
28724,4,63842389
28737,5,16330076
28743,2,255975633
28829,2,641493169
29029,3,238488043
29030,3,242909968
29031,3,231179037
29053,7,869493256
29057,1,215681876
29058,1,114936537
29064,5,194142142
29073,5,3004682
29078,5,169410416
29088,5,5194930
29091,5,17865326
29092,5,369410418
29137,5,210402139
29139,5,239885973
29144,5,889302719
29158,0,801984
29159,0,71232029
29656,6,462174161
29730,6,670955601
30018,3,199236519
30019,3,64907195
30023,3,228714781
30025,3,185576015
30033,3,247621729
30065,3,4246493
30066,3,109970766
30068,3,9415238
30069,3,356943128
30076,8,727426703
30191,7,381905583
30194,7,339959147
30195,7,404810625
30201,7,188207247
30207,7,358773274
30212,7,215741760
30213,7,42125279
30317,5,438316753
30331,5,963723537
30357,5,471495200
30388,4,37453385
30410,4,102098670
30419,4,40200788
30423,4,105660126
30455,4,28524963
30456,4,48485374
30457,4,40103302
30461,4,90174665
30464,4,26668108
30521,5,182198901
30522,5,194580145
30527,5,171342072
30538,5,247045207
30551,5,10374018
30586,5,262729906
30589,5,6726976
30602,5,157707875
30608,5,17595990
30611,5,13443900
30640,5,848687049
30732,2,262344142
31033,2,217848343
31142,4,368101663
31869,5,10348030
32389,7,980545102
32443,0,52827
32473,2,347993403
32523,0,2189286
32524,0,9811877
32525,5,15315101
32536,5,6918860
33208,0,1327772
33317,0,47160
33412,1,63974344
33416,1,149855186
33418,1,43276440
33423,1,53188174
33425,1,49068981
33427,1,41132426
33428,1,40923986
33429,1,85368027
33440,1,42421337
33441,1,63586922
33442,1,256581685
33444,1,59586446
33455,1,65262571
33457,1,45424436
33528,2,114260598
33548,5,257821088
33553,5,8104
33554,5,1714529
33556,5,1787476
33562,5,233383469
33584,4,67851384
33598,4,48127747
33601,4,53126736
33616,4,210943275
34329,6,1222766564
34620,8,1561238820
34682,3,320482208
34690,3,51596696
34691,3,73282510
34720,7,331991468
34729,7,189615203
34739,1,388689615
34773,5,1700371053
34785,2,259103793
34787,2,465387785
34816,2,115838162
34827,5,6467986
34839,5,8071944
34842,5,3136716
34844,5,186145891
34846,5,16736094
34873,5,157551028
34880,5,143633555
34882,5,7577282
34884,5,207010018
34886,5,179792659
34903,4,423182744
34926,4,120762113
34956,4,71397188
34996,4,464546958
35005,4,442889603
35523,8,564240261
35570,3,257062637
35657,5,352812495
35658,5,168707270
35670,4,444446574
35885,6,841253987
36166,3,212763398
36176,0,383353182
36185,2,695118250
36190,2,1301264838
36200,2,882334131
36212,2,1455593100
36226,5,277348388
36227,5,1103244
36239,5,215418135
36248,4,149968802
36249,4,52509814
36263,4,57745599
36268,4,34341245
36275,4,73103354
36300,4,31088187
36329,0,22185340
36667,8,371707300
36722,5,125785212
36723,5,188218462
36987,8,356888770
37001,3,120127778
37003,2,193410383
37032,5,6884506
37040,4,26429493
37042,4,56920443
37046,4,47017441
37079,4,44101661
37080,4,63014442
37081,4,41035389
37083,4,165355407
37174,5,0
37176,5,173715639
37181,5,295232796
37190,5,178932429
37273,2,349561787
37293,5,9550946
37344,7,194301222
37546,3,234097344
37548,5,5182470
37610,4,735595056
37627,7,195022103
37653,0,1211014
37682,6,959476835
38123,8,408654231
38162,8,1063000180
38358,3,520075813
38397,4,48395052
38414,6,1030397968
38527,5,1334534278
38618,5,142992032
38626,5,194779792
38654,4,321622600
38674,5,23253920
38705,6,780925528
38772,4,366883592
38775,5,256470062
38881,6,1448518
38941,2,485577233
38942,6,1557985362
39082,5,15767062
39086,5,10704742
39099,4,349930484
39107,5,13071399
39432,5,351680619
39466,1,223663319
39617,4,70556749
39621,4,70549768
39638,4,121832702
39758,3,94797619
39961,4,65468327
39963,4,78744920
40077,1,157114383
40085,1,331350712
40148,6,289273413
40149,6,255500409
40151,5,3881290
40217,4,46071808
40233,5,0
40366,3,76659832
40370,3,83100470
40674,5,7762351
40690,2,1879678940
40692,2,1369254750
40817,4,136265060
40818,4,48933898
40830,5,903700438
41101,8,682384421
41112,8,72767873
41139,8,1898083901
41261,5,6879522
41426,5,186337968
41427,3,42823609
41447,2,181647188
41882,6,811812
42026,3,253148790
42062,3,21176916
42100,5,183050723
42192,0,10842222
42254,5,15831144
42275,1,252088833
42410,5,199424245
42415,5,16094404
42514,5,395564669
42526,5,493792735
42563,5,317496668
42636,5,1312467073
42648,5,190780901
42839,3,15792563
42896,3,359694917
43041,3,21802541
43146,8,364732234
43151,3,15104850
43179,5,176305066
43256,2,1767610796
43316,4,52381620
43321,5,7405334
43332,5,13942384
43455,4,35276711
43580,4,88306233
43689,2,527806626
43700,2,278672246
43777,5,7166636
43780,5,4858688
44316,4,230404599
44318,4,479957563
44394,4,64682306
44477,7,107885630
44489,4,361635146
44507,4,437901910
44668,8,646234057
44679,8,477160564
45157,0,17657173
45264,0,1394492
45351,0,660208982
45450,3,65454744
45479,5,380798548
45637,4,140690913
45779,1,180050974
45807,4,137793971
46245,3,433890402
46259,2,152894270
46513,4,95800441
46829,3,163032705
47180,5,5654882
47230,5,165103524
47281,6,3567246
47308,2,848205960
47314,3,357339607
47315,3,264764553
47692,4,59396600
47695,4,53083251
47969,2,398594447
48086,5,4427750
48139,5,13439890
48155,4,173997768
48193,2,501834750
48278,4,45466686
48396,4,61622500
48397,4,69882049
48426,4,76904906
48427,4,205745599
48435,4,48835798
48560,5,157318004
48668,5,1134958668
48681,4,208602047
48698,2,190830562
48699,2,174737240
48701,2,185969040
48709,8,340451254
48723,5,1427204
48745,5,2466724
48752,5,6874894
48849,4,44405360
48850,5,2958716
48883,4,54525338
48891,4,68138254
49369,6,4264562021
49390,6,787725778
50251,4,58508326
50390,8,885910770
50392,4,52825981
50402,4,39581861
50426,0,7412754
50452,6,506905007
50954,5,275452636
51154,5,6641892
51298,5,230837026
51337,5,4204360
51338,5,24224020
51342,5,14736086
51346,5,13951106
51355,4,328664959
51650,8,1023782023
51655,8,709198421
51695,6,4935485
51858,4,576199751
51900,4,71195170
51906,4,62289128
52224,4,509096127
52239,2,1003372657
52375,0,43842856
52612,8,274554731
52622,4,52336352
52644,4,31456621
52647,4,47562420
52653,2,566943421
52664,2,350680144
52719,3,493448052
52777,4,151681571
52904,2,112764872
53275,5,320877083
54017,4,42478201
54023,4,39727967
54059,4,41484646
54126,8,1791638
54131,5,13979764
54133,5,6654530
54180,5,235053095
54317,2,1053281645
54343,2,696201268
54356,4,47395606
54359,4,44922280
54369,4,39410761
54374,4,40539794
54380,4,32736886
54383,4,26088038
54386,4,35653950
54508,4,37554847
54600,5,232258823
54601,5,190343341
54971,4,37481165
55057,1,598038345
55149,5,640012860
55544,4,496930926
55550,4,388420708
55577,6,850767882
55661,4,33842972
56067,4,50624863
56068,4,50106608
56069,4,36070880
56086,8,495053697
56194,5,175190434
56258,4,36475667
56262,4,47516324
56311,4,47669544
56313,4,37013486
56343,4,50323659
56364,1,321458282
56622,7,151960030
56716,2,349395537
56723,2,828804422
56726,2,444826805
56798,5,301610213
57062,8,152607346
57068,4,30773705
57237,4,81931484
57240,4,65843164
57247,4,64036649
57397,4,35610218
57412,4,35593029
57421,4,39892324
57439,4,68998081
57737,5,254171254
57865,2,980765243
57926,6,613112301
58065,5,254354664
58069,5,12888090
58203,4,69971764
58323,5,1352870869
58824,1,225886582
59463,5,460463644
59472,5,186079849
59474,5,5052530
59476,5,4327180
59479,5,179587793
59527,5,10170386
59534,5,151893596
59538,5,12006812
59542,5,144053357
59556,5,130654890
59689,6,327962304
59729,4,100660833
59861,2,1716398097
59894,4,12662781
59899,5,363817757
59916,3,356046155
60409,2,558335227
60468,4,52679182
60711,5,434014883
60746,5,193846711
61156,5,315927966
61221,4,256229414
61376,5,155494260
61379,5,1881862
61383,5,154712782
61384,5,147888909
61388,5,244004819
61472,8,629688161
61474,8,660279611
61476,8,601830621
61478,8,685219552
61482,8,536181419
61484,8,644704489
61621,5,7833780
61622,5,15275960
61643,2,479789690
61819,2,255279882
61853,5,13144056
62018,8,384412035
62062,2,715927656
62324,3,650923220
62749,8,217504793
63121,0,1173106
63155,2,748707407
63433,7,868672242
63434,7,316849685
63436,7,453097606
63459,6,761695008
63787,6,289540609
63976,1,225324254
63990,1,391018807
64144,2,254262023
64176,4,812713899
64278,4,76528870
64391,8,848785016
64459,1,399137021
64668,4,284921790
64791,7,209701062
64793,7,301989090
64799,4,107067944
64802,4,62413577
64838,7,209251900
65476,4,265614317
65489,6,323991064
65598,7,385028062
66420,1,60230848
66442,5,125256367
66444,5,157431299
66707,4,54448884
66713,0,630786
66913,5,697401062
67531,3,214051070
67533,3,253923514
67534,3,518176929
67767,7,143271451
67801,3,212112989
67830,6,1631572408
68294,4,393154558
68408,5,234673512
68415,5,7641184
68464,2,403764438
68486,4,100268504
68497,4,62030678
69004,3,20169942
69234,2,463128855
69293,2,473227572
69297,5,113641943
69308,5,254065798
69311,5,156525772
69319,7,365795356
69332,6,859909486
69355,8,2602422
69811,5,1233285584
69820,1,267855919
70433,2,835124322
70687,5,1278930
70778,0,628294
71006,5,15316544
71117,5,6575854
71119,5,9728590
71139,6,1301543496
71854,5,206828811
72004,5,10419586
72105,2,1178382907
72248,1,609440699
72267,7,205889392
72446,5,783062639
72542,5,185290855
72544,5,169220268
72664,6,452740493
72781,7,264069286
72791,7,136175584
73157,3,202536108
73324,4,286971011
73327,4,51585150
73330,4,52966507
73333,4,90644070
73337,5,177113400
73917,3,253689302
74200,4,55284681
74533,5,143234489
74869,3,371630388
74873,3,96575236
74909,4,669001893
74926,4,685943147
74940,2,451406107
75152,7,503463969
75162,7,614978943
75169,7,711387304
75352,5,670751480
75366,5,473402924
75485,4,42649790
75864,4,54865011
75869,4,86240173
75917,7,287653926
76066,5,570806354
76193,1,375742032
76194,1,51136667
76198,1,42951462
76199,1,121773729
76206,1,169164235
76338,2,444268482
76340,2,316283944
76712,3,29979059
76717,5,148688413
76990,7,456670188
77115,2,550927781
77151,5,168885424
77166,8,230426593
77214,5,2937260
77252,1,54151
77586,6,249486585
77598,5,8957672
77932,5,448405156
78185,7,58719776
78217,4,57144836
78633,1,899736361
78897,1,1067203034
79626,4,55375777
79627,4,202911631
79633,4,42345480
79643,4,39929564
79653,4,55557001
79684,5,10202960
79782,8,362163739
79784,5,153179978
79805,5,3333584
80427,4,354990688
